BPUIC1;BPUIC2;DISTANCE
8501376;8501385;1.2292
8500203;8500204;2.2326
8502002;8502001;3.0136
8504303;8504302;1.6477
8504128;8504186;1.6076
8506313;8506312;4.8806
8500125;8500126;5.055
8509057;8509058;4.4763
8500184;8500179;4.1113
8500301;8500313;1.9197
8506042;8506043;2.8985
8506104;8506103;3.5741
8504101;8504102;5.6453
8506285;8506271;1.937
8509068;8509269;20.2283
8501662;8501661;2.34
8505472;8505467;0.6257
8500034;8500035;2.0067
8509364;8509363;2.5101
8504296;8504298;5.0281
8508271;8508272;2.1458
8508267;8508268;3.351
8504464;8504465;1.4007
8504115;8504104;1.3166
8502270;8517376;0.5228
8503117;8503116;3.405
8508185;8508184;0.9186
8503099;8503089;1.0913
8504311;8504310;2.7923
8508254;8508255;2.387
8509255;8509351;2.2116
8503128;8503129;2.7615
8507074;8507075;2.331
8505175;8505176;1.1809
8500196;8500195;2.3139
8509157;8509156;2.4489
8509412;8509411;2.3804
8595245;8530713;0.8483
8505213;8505212;3.366
8504086;8504066;2.5187
8507474;8507473;5.079
8504123;8504134;2.2885
8500199;8500123;4.5737
8509252;8509253;2.0057
8500115;8500114;5.5023
8504401;8516444;1.1562
8530789;8505393;2.2718
8502278;8502277;1.9308
8501285;8501286;0.6011
8504401;8504402;3.6971
8509250;8509199;3.4875
8501390;8501381;0.4942
8500288;8500287;1.362
8502272;8502269;1.8951
8501575;8501576;4.9296
8517336;8505018;3.922
8506025;8506139;3.0514
8506368;8506369;0.4937
8502034;8502033;2.3114
8501563;8501562;1.2617
8501112;8501111;2.2154
8504314;8500184;1.0028
8504295;8504294;2.8007
8505217;8505216;3.6472
8503306;8503147;3.095
8508174;8508183;1.6498
8501609;8507470;6.3817
8506138;8506139;2.0674
8505396;8505392;0.5378
8506294;8506293;3.0064
8506047;8506048;6.8225
8506021;8506020;2.456
8505303;8505302;3.8008
8501572;8501573;1.1185
8508187;8508186;3.361
8508391;8508390;3.0381
8502104;8502119;3.3904
8509353;8509352;4.709
8501493;8588193;0.6023
8501380;8501381;0.3614
8506036;8506020;1.2178
8507472;8507473;6.2693
8507069;8507096;0.5837
8505404;8505412;5.443
